总价,单价,小区名称,所在区域,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,房源核验码,用水类型,用电类型,燃气价格,别墅类型,区,板块,楼层位置,总楼层数,室数,厅数,厨数,卫数,人均面积,楼层密度,厅室比,卫室比,总房间数,单价等级,面积等级,区域均价,区域中位价,区域价格标准差,区域房源数,相对价格指数
239万,21036元/平米,香悦花苑,鄞州区 姜山,3室1厅1厨2卫,低楼层 (共16层),113.62㎡,平层,,板塔结合,南,钢混结构,其他,一梯两户,有,2023-10-16,商品房,2018-06-18,普通住宅,暂无数据,非共有,有抵押 鄞州银行,已上传房本照片,201811133302120035,,,,,鄞州区,姜山,低楼层,16,3,1,1,2,28.405,6.683529411764706,0.25,0.5,6,2,2,2711766.8711656444,2500000.0,1329556.3519404833,978,0.8813438736453008
145万,18679元/平米,紫御铭园,海曙区 集士港,2室2厅1厨1卫,低楼层 (共14层),77.63㎡,平层,,板楼,南,钢混结构,简装,一梯四户,有,2023-10-16,商品房,2016-10-15,普通住宅,暂无数据,非共有,有抵押,已上传房本照片,2020051233302633035,,,,,海曙区,集士港,低楼层,14,2,2,1,1,25.876666666666665,5.175333333333333,0.6666666666666666,0.3333333333333333,5,1,1,2048187.9432624113,1840000.0,968698.6620355729,564,0.7079424995285837
208万,23642元/平米,中哲时尚城,鄞州区 潘火,3室1厅1厨1卫,高楼层 (共20层),87.98㎡,平层,87.00㎡,塔楼,南,钢混结构,精装,两梯五户,有,2023-10-15,商品房,2017-10-15,普通住宅,暂无数据,共有,无抵押,已上传房本照片,202103283302120083,,,,,鄞州区,潘火,高楼层,20,3,1,1,1,21.995,4.18952380952381,0.25,0.25,5,2,1,2711766.8711656444,2500000.0,1329556.3519404833,978,0.7670273042603455
126万,19237元/平米,段塘牡丹新村,海曙区 段塘,2室1厅1厨1卫,低楼层 (共7层),65.50㎡,平层,,暂无数据,南,未知结构,简装,一梯三户,暂无数据,2023-10-18,商品房,1998-10-18,普通住宅,满五年,共有,无抵押,已上传房本照片,202109163302030046,,,,,海曙区,段塘,低楼层,7,2,1,1,1,21.833333333333332,8.1875,0.3333333333333333,0.3333333333333333,4,1,1,2048187.9432624113,1840000.0,968698.6620355729,564,0.6151776202800107
148万,14249元/平米,东岗碶新村,北仑区 小港,3室2厅1厨1卫,高楼层 (共6层),103.87㎡,复式,,板塔结合,南 北,钢混结构,精装,一梯两户,无,2023-10-15,商品房,2014-03-13,普通住宅,暂无数据,共有,无抵押,已上传房本照片,201809213302060829,,,,,北仑区,小港,高楼层,6,3,2,1,1,25.9675,14.838571428571429,0.5,0.25,6,1,2,1875364.5484949832,1800000.0,855438.6591359673,299,0.7891794755362379
378万,20635元/平米,蔚蓝城市花园,镇海区 庄市,3室2厅1厨2卫,低楼层 (共8层),183.19㎡,复式,,暂无数据,南,未知结构,精装,一梯两户,暂无数据,2023-10-15,商品房,2021-08-25,普通住宅,满两年,非共有,无抵押,已上传房本照片,202310153302110023,,,,,镇海区,庄市,低楼层,8,3,2,1,2,45.7975,20.354444444444443,0.5,0.5,7,2,4,2173067.729083665,1990000.0,977382.160362272,251,1.7394755855669333
268万,22844元/平米,荣安桃花源,海曙区 集士港,3室1厅1厨2卫,高楼层 (共15层),117.32㎡,平层,,暂无数据,东,未知结构,精装,一梯两户,暂无数据,2023-10-14,商品房,2020-10-01,普通住宅,暂无数据,共有,无抵押,已上传房本照片,202305113302030043,,,,,海曙区,集士港,高楼层,15,3,1,1,2,29.33,7.3325,0.25,0.5,6,2,2,2048187.9432624113,1840000.0,968698.6620355729,564,1.3084730336114514
109万,12038元/平米,明城港湾,海曙区 集士港,2室1厅1厨1卫,高楼层 (共6层),90.55㎡,平层,,板楼,南,钢混结构,毛坯,一梯两户,暂无数据,2023-10-07,拆迁安置房,2019-10-10,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,202109153302030011,,,,,海曙区,集士港,高楼层,6,2,1,1,1,30.183333333333334,12.935714285714285,0.3333333333333333,0.3333333333333333,4,1,1,2048187.9432624113,1840000.0,968698.6620355729,564,0.5321774651628663
295万,31434元/平米,中海凤凰熙岸,鄞州区 下应,3室2厅1厨1卫,中楼层 (共20层),93.85㎡,平层,,板楼,南,钢混结构,精装,一梯两户,暂无数据,2023-10-14,商品房,2021-10-13,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,202310143302120038,,,,,鄞州区,下应,中楼层,20,3,2,1,1,23.4625,4.469047619047619,0.5,0.25,6,3,2,2711766.8711656444,2500000.0,1329556.3519404833,978,1.0878512247923169
196万,12611元/平米,联升佳苑,海曙区 高桥,4室2厅1厨2卫,高楼层 (共11层),155.42㎡,复式,,板楼,东南,钢混结构,毛坯,一梯两户,有,2023-10-18,拆迁安置房,2020-10-01,普通住宅,暂无数据,非共有,有抵押 100万元 100,已上传房本照片,202309123302030074,,,,,海曙区,高桥,高楼层,11,4,2,1,2,31.083999999999996,12.951666666666666,0.4,0.4,8,1,3,2048187.9432624113,1840000.0,968698.6620355729,564,0.9569429648800166
155万,15078元/平米,江南水岸,海曙区 高桥,3室2厅1厨1卫,低楼层 (共18层),102.80㎡,平层,,板塔结合,南,钢混结构,毛坯,一梯三户,有,2023-10-15,拆迁安置房,2021-10-15,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,202310153302030020,,,,,海曙区,高桥,低楼层,18,3,2,1,1,25.7,5.410526315789474,0.5,0.25,6,1,2,2048187.9432624113,1840000.0,968698.6620355729,564,0.7567661201857274
459万,28789元/平米,锦悦湾花苑,鄞州区 首南,4室2厅1厨2卫,低楼层 (共33层),159.44㎡,平层,128.00㎡,板塔结合,南,钢混结构,简装,两梯两户,有,2023-10-11,商品房,2016-11-11,普通住宅,暂无数据,共有,无抵押,已上传房本照片,202003113302120093,,,,,鄞州区,首南,低楼层,33,4,2,1,2,31.887999999999998,4.689411764705882,0.4,0.4,8,3,3,2711766.8711656444,2500000.0,1329556.3519404833,978,1.6926227531514355
131万,14124元/平米,宁南新城盈园,奉化区 方桥,3室2厅1厨1卫,低楼层 (共18层),92.75㎡,平层,,板楼,南 北,钢混结构,其他,一梯四户,暂无数据,2023-10-15,商品房,2020-10-16,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,202310163302830005,,,,,奉化区,方桥,低楼层,18,3,2,1,1,23.1875,4.881578947368421,0.5,0.25,6,1,1,1278558.8235294118,1290000.0,384450.8928659952,68,1.024590305351375
89万,15345元/平米,东升新村,北仑区 戚家山,2室1厅1厨1卫,中楼层 (共7层),58.00㎡,平层,50.00㎡,暂无数据,南 北,混合结构,简装,一梯两户,无,2023-10-17,商品房,2015-10-06,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,202304173302060069,,,,,北仑区,戚家山,中楼层,7,2,1,1,1,19.333333333333332,7.25,0.3333333333333333,0.3333333333333333,4,1,0,1875364.5484949832,1800000.0,855438.6591359673,299,0.4745741440724674
188万,26409元/平米,太古城,鄞州区 东柳,3室1厅1厨1卫,中楼层 (共8层),71.19㎡,平层,,板楼,南,砖混结构,精装,一梯两户,无,2023-10-15,商品房,2019-07-18,普通住宅,满两年,非共有,有抵押 50万元 业主自还,已上传房本照片,202310173302120033,,,,,鄞州区,东柳,中楼层,8,3,1,1,1,17.7975,7.91,0.25,0.25,5,2,1,2711766.8711656444,2500000.0,1329556.3519404833,978,0.6932746788506968
340万,19446元/平米,枫丹公寓,鄞州区 东柳,6室1厅1厨2卫,中楼层 (共10层),174.85㎡,平层,159.13㎡,板塔结合,南,框架结构,简装,一梯两户,有,2023-10-09,商品房,2010-10-01,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,202104213302120128,,,,,鄞州区,东柳,中楼层,10,6,1,1,2,24.978571428571428,15.895454545454545,0.14285714285714285,0.2857142857142857,9,2,4,2711766.8711656444,2500000.0,1329556.3519404833,978,1.2537946319640263
68万,7690元/平米,绿地海湾丽海苑,杭州湾新区 杭州湾新区,3室2厅1厨1卫,中楼层 (共22层),88.43㎡,平层,,暂无数据,南,未知结构,精装,两梯四户,有,2023-10-15,商品房,2021-03-08,普通住宅,暂无数据,非共有,有抵押 47万元 中信银行,已上传房本照片,111441,,,,,杭州湾新区,杭州湾新区,中楼层,22,3,2,1,1,22.1075,3.8447826086956525,0.5,0.25,6,0,1,853969.1358024691,830000.0,286526.62766007404,162,0.7962807731689695
225万,18857元/平米,橄榄树雅苑,海曙区 集士港,3室2厅1厨2卫,低楼层 (共14层),119.32㎡,平层,,板楼,南,钢混结构,精装,两梯两户,有,2023-09-28,商品房,2016-09-07,普通住宅,暂无数据,非共有,有抵押 38万元,已上传房本照片,202310043302030017,,,,,海曙区,集士港,低楼层,14,3,2,1,2,29.83,7.954666666666666,0.5,0.5,7,1,2,2048187.9432624113,1840000.0,968698.6620355729,564,1.0985314647857334
240万,20809元/平米,洋江水岸,鄞州区 下应,3室2厅1厨1卫,高楼层 (共33层),115.34㎡,平层,,板楼,南,钢混结构,简装,两梯四户,有,2023-10-03,商品房,2020-10-03,普通住宅,暂无数据,非共有,有抵押 200万元 业主自还,已上传房本照片,202305053302120119,,,,,鄞州区,下应,高楼层,33,3,2,1,1,28.835,3.392352941176471,0.5,0.25,6,2,2,2711766.8711656444,2500000.0,1329556.3519404833,978,0.8850315049157832
242万,23319元/平米,领秀熙城,海曙区 集士港,3室2厅1厨1卫,高楼层 (共13层),103.78㎡,平层,,板楼,南,钢混结构,精装,两梯三户,有,2023-09-23,商品房,2019-05-15,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,202309233302030015,,,,,海曙区,集士港,高楼层,13,3,2,1,1,25.945,7.412857142857143,0.5,0.25,6,2,2,2048187.9432624113,1840000.0,968698.6620355729,564,1.1815316199028776
179万,19112元/平米,水木清华,海曙区 集士港,3室2厅1厨1卫,中楼层 (共15层),93.66㎡,平层,75.49㎡,板楼,南,钢混结构,精装,两梯四户,有,2023-09-23,商品房,2013-12-16,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,202309233302030023,,,,,海曙区,集士港,中楼层,15,3,2,1,1,23.415,5.85375,0.5,0.25,6,1,2,2048187.9432624113,1840000.0,968698.6620355729,564,0.8739428097628723
145万,18994元/平米,北路一村,海曙区 石碶,3室1厅1厨1卫,中楼层 (共7层),76.34㎡,平层,69.09㎡,板楼,南,混合结构,精装,一梯两户,无,2023-10-06,商品房,2019-09-25,普通住宅,暂无数据,共有,无抵押,已上传房本照片,202310063302030035,,,,,海曙区,石碶,中楼层,7,3,1,1,1,19.085,9.5425,0.25,0.25,5,1,1,2048187.9432624113,1840000.0,968698.6620355729,564,0.7079424995285837
162万,23431元/平米,和泰雅苑,鄞州区 新明,2室2厅1厨1卫,低楼层 (共17层),69.14㎡,平层,,板楼,南,钢混结构,精装,两梯四户,有,2023-09-24,商品房,2017-08-13,普通住宅,未满两年,非共有,无抵押,已上传房本照片,20200819330212002805001A,,,,,鄞州区,新明,低楼层,17,2,2,1,1,23.046666666666667,3.841111111111111,0.6666666666666666,0.3333333333333333,5,2,1,2711766.8711656444,2500000.0,1329556.3519404833,978,0.5973962658181536
218万,16591元/平米,舜江名苑西区,余姚市 东风,3室1厅1厨2卫,中楼层 (共5层),131.40㎡,平层,,板楼,南,砖混结构,其他,一梯两户,无,2023-10-13,商品房,2004-04-05,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,202105253302810047,,,,,余姚市,东风,中楼层,5,3,1,1,2,32.85,21.900000000000002,0.25,0.5,6,1,3,1752745.7627118644,1620000.0,866516.1238370968,59,1.2437621032185424
370万,26583元/平米,公元世家一期,镇海区 庄市,4室2厅1厨2卫,中楼层 (共17层),139.19㎡,平层,,板塔结合,南,钢混结构,精装,一梯两户,暂无数据,2023-09-08,商品房,2015-06-16,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,202303103302110038,,,,,镇海区,庄市,中楼层,17,4,2,1,2,27.838,7.732777777777778,0.4,0.4,8,2,3,2173067.729083665,1990000.0,977382.160362272,251,1.7026612874596967
598万,36753元/平米,荣安府,鄞州区 南部商务区,4室2厅1厨2卫,低楼层 (共35层),162.71㎡,平层,125.86㎡,板塔结合,南,钢混结构,精装,两梯两户,有,2023-04-16,商品房,2013-05-17,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,202304163302120053,,,,,鄞州区,南部商务区,低楼层,35,4,2,1,2,32.542,4.519722222222223,0.4,0.4,8,4,4,2711766.8711656444,2500000.0,1329556.3519404833,978,2.2052034997484933
238万,18513元/平米,芳辰丽阳北园,镇海区 庄市,4室2厅1厨2卫,高楼层 (共9层),128.56㎡,平层,128.56㎡,板塔结合,南,钢混结构,简装,一梯两户,有,2023-05-10,商品房,2021-03-10,普通住宅,暂无数据,非共有,有抵押 160万元,已上传房本照片,202302123302110027,,,,,镇海区,庄市,高楼层,9,4,2,1,2,25.712,12.856,0.4,0.4,8,1,3,2173067.729083665,1990000.0,977382.160362272,251,1.0952253686902913
300万,34181元/平米,雅戈尔锦绣东城,鄞州区 东部新城,3室2厅1厨1卫,低楼层 (共18层),87.77㎡,平层,,板楼,南,钢混结构,其他,两梯三户,有,2023-09-20,商品房,2016-09-01,普通住宅,暂无数据,非共有,有抵押,已上传房本照片,2023021330212009105001A,,,,,鄞州区,东部新城,低楼层,18,3,2,1,1,21.9425,4.619473684210526,0.5,0.25,6,3,1,2711766.8711656444,2500000.0,1329556.3519404833,978,1.106289381144729
335万,26040元/平米,瀚宁府,镇海区 庄市,4室2厅1厨2卫,高楼层 (共18层),128.65㎡,平层,,板塔结合,南,钢混结构,其他,一梯两户,暂无数据,2023-02-15,商品房,2020-11-10,普通住宅,暂无数据,共有,有抵押 80万元 兴业银行宁波市分行 业主自还,已上传房本照片,202302173302110019,,,,,镇海区,庄市,高楼层,18,4,2,1,2,25.73,6.771052631578947,0.4,0.4,8,2,3,2173067.729083665,1990000.0,977382.160362272,251,1.541598733240536
172万,15358元/平米,大同新村,北仑区 新碶,3室1厅1厨1卫,低楼层 (共10层),112.00㎡,平层,,板楼,南,钢混结构,精装,两梯两户,有,2023-10-08,商品房,2020-07-01,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,202211243302060059,,,,,北仑区,新碶,低楼层,10,3,1,1,1,28.0,10.181818181818182,0.25,0.25,5,1,2,1875364.5484949832,1800000.0,855438.6591359673,299,0.9171545256231954
128万,15913元/平米,蒲家兰庭,海曙区 高桥,2室1厅1厨1卫,高楼层 (共11层),80.44㎡,平层,,板塔结合,南,钢混结构,毛坯,一梯六户,有,2023-10-14,拆迁安置房,2017-06-17,普通住宅,满五年,非共有,有抵押 50万元,已上传房本照片,202304023302030049,,,,,海曙区,高桥,高楼层,11,2,1,1,1,26.813333333333333,6.703333333333333,0.3333333333333333,0.3333333333333333,4,1,1,2048187.9432624113,1840000.0,968698.6620355729,564,0.6249423444114395
365万,26258元/平米,中海国际社区五期,鄞州区 下应,4室2厅1厨2卫,高楼层 (共33层),139.01㎡,平层,,板楼,东南,钢混结构,精装,两梯四户,有,2023-10-07,商品房,2017-10-07,普通住宅,满五年,非共有,有抵押 20万元,已上传房本照片,20205303302120040,,,,,鄞州区,下应,高楼层,33,4,2,1,2,27.802,4.088529411764705,0.4,0.4,8,2,3,2711766.8711656444,2500000.0,1329556.3519404833,978,1.345985413726087
398万,33684元/平米,融创东投悦之湾,鄞州区 高新区,3室1厅1厨2卫,高楼层 (共18层),118.16㎡,平层,,板楼,南,钢混结构,精装,两梯两户,有,2023-10-06,商品房,2019-02-01,普通住宅,满两年,非共有,无抵押,已上传房本照片,202310073302120094,,,,,鄞州区,高新区,高楼层,18,3,1,1,2,29.54,6.218947368421053,0.25,0.5,6,3,2,2711766.8711656444,2500000.0,1329556.3519404833,978,1.467677245652007
182万,18230元/平米,裕和佳苑,鄞州区 姜山,3室2厅1厨1卫,高楼层 (共18层),99.84㎡,平层,,板塔结合,南,钢混结构,毛坯,一梯两户,暂无数据,2023-10-15,拆迁安置房,2020-07-10,普通住宅,满两年,共有,无抵押,已上传房本照片,202310183302120137,,,,,鄞州区,姜山,高楼层,18,3,2,1,1,24.96,5.254736842105263,0.5,0.25,6,1,2,2711766.8711656444,2500000.0,1329556.3519404833,978,0.6711488912278023
156万,17638元/平米,誉湖湾花苑,北仑区 小港,3室2厅1厨1卫,低楼层 (共22层),88.45㎡,平层,,暂无数据,南,未知结构,简装,一梯四户,暂无数据,2023-10-10,商品房,2020-09-15,普通住宅,暂无数据,非共有,有抵押,已上传房本照片,202310143302060007,,,,,北仑区,小港,低楼层,22,3,2,1,1,22.1125,3.845652173913044,0.5,0.25,6,1,1,1875364.5484949832,1800000.0,855438.6591359673,299,0.8318378255652238
59万,6476元/平米,白鹭园,杭州湾新区 杭州湾新区,2室2厅1厨1卫,中楼层 (共33层),91.11㎡,平层,70.91㎡,板楼,南,钢混结构,简装,两梯三户,有,2023-10-09,商品房,2014-03-07,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,20231010330282010009,,,,,杭州湾新区,杭州湾新区,中楼层,33,2,2,1,1,30.37,2.679705882352941,0.6666666666666666,0.3333333333333333,5,0,1,853969.1358024691,830000.0,286526.62766007404,162,0.6908906708377824
122万,15075元/平米,龙星家园,鄞州区 云龙,2室2厅1厨1卫,低楼层 (共18层),80.93㎡,平层,,板楼,南,钢混结构,毛坯,一梯四户,暂无数据,2023-10-17,拆迁安置房,2020-09-23,普通住宅,满两年,非共有,无抵押,已上传房本照片,20231017330212006573001A,,,,,鄞州区,云龙,低楼层,18,2,2,1,1,26.97666666666667,4.259473684210526,0.6666666666666666,0.3333333333333333,5,1,1,2711766.8711656444,2500000.0,1329556.3519404833,978,0.4498910149988565
74万,6395元/平米,天怡湾花苑,杭州湾新区 杭州湾新区,3室2厅1厨2卫,低楼层 (共24层),115.73㎡,平层,,暂无数据,南,未知结构,毛坯,一梯四户,暂无数据,2023-10-08,商品房,2021-03-17,普通住宅,暂无数据,非共有,有抵押 50万元 中国银行 业主自还,已上传房本照片,20231011330282010013,,,,,杭州湾新区,杭州湾新区,低楼层,24,3,2,1,2,28.9325,4.6292,0.5,0.5,7,0,2,853969.1358024691,830000.0,286526.62766007404,162,0.866540841389761
378万,31835元/平米,翰林甲第北苑,镇海区 庄市,3室2厅1厨2卫,中楼层 (共8层),118.74㎡,平层,,板楼,南,钢混结构,精装,一梯两户,暂无数据,2023-10-13,商品房,2020-10-29,普通住宅,满两年,非共有,无抵押,已上传房本照片,202310143302110016,,,,,镇海区,庄市,中楼层,8,3,2,1,2,29.685,13.193333333333333,0.5,0.5,7,3,2,2173067.729083665,1990000.0,977382.160362272,251,1.7394755855669333
225万,27440元/平米,蔚蓝城市花园,镇海区 庄市,3室2厅1厨1卫,高楼层 (共19层),82.00㎡,平层,62.00㎡,暂无数据,南,钢混结构,精装,一梯四户,有,2023-10-13,商品房,2020-09-02,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,202310163302110046,,,,,镇海区,庄市,高楼层,19,3,2,1,1,20.5,4.1,0.5,0.25,6,3,1,2173067.729083665,1990000.0,977382.160362272,251,1.0354021342660318
128万,13461元/平米,浃江小区山清轩,北仑区 小港,2室2厅1厨1卫,高楼层 (共16层),95.09㎡,平层,,板塔结合,南,钢混结构,简装,两梯三户,有,2023-10-11,商品房,2017-11-17,普通住宅,满五年,共有,有抵押 16万元,已上传房本照片,202211233302060032,,,,,北仑区,小港,高楼层,16,2,2,1,1,31.69666666666667,5.593529411764706,0.6666666666666666,0.3333333333333333,5,1,2,1875364.5484949832,1800000.0,855438.6591359673,299,0.6825336004637733
122万,21111元/平米,都市华庭,鄞州区 姜山,2室1厅1厨1卫,低楼层 (共18层),57.79㎡,平层,,板塔结合,东,钢混结构,精装,两梯八户,有,2023-10-17,商品房,2019-01-01,普通住宅,满两年,非共有,无抵押,已上传房本照片,202208123302120007,,,,,鄞州区,姜山,低楼层,18,2,1,1,1,19.263333333333332,3.041578947368421,0.3333333333333333,0.3333333333333333,4,2,0,2711766.8711656444,2500000.0,1329556.3519404833,978,0.4498910149988565
105万,21844元/平米,联丰北区,海曙区 白云,2室1厅1厨1卫,中楼层 (共7层),48.07㎡,平层,41.80㎡,板塔结合,南,钢混结构,精装,一梯两户,无,2023-10-18,商品房,2011-03-21,普通住宅,暂无数据,共有,无抵押,已上传房本照片,202310163302030017,,,,,海曙区,白云,中楼层,7,2,1,1,1,16.023333333333333,6.00875,0.3333333333333333,0.3333333333333333,4,2,0,2048187.9432624113,1840000.0,968698.6620355729,564,0.5126480169000089
145万,8618元/平米,嘉悦紫园,余姚市 余姚周边,4室2厅1厨2卫,中楼层 (共16层),168.27㎡,平层,,暂无数据,南,未知结构,毛坯,一梯两户,暂无数据,2023-10-16,商品房,2020-01-01,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,202310163302810014,,,,,余姚市,余姚周边,中楼层,16,4,2,1,2,33.654,9.898235294117647,0.4,0.4,8,0,4,1752745.7627118644,1620000.0,866516.1238370968,59,0.8272729585627919
66万,14538元/平米,学府一号,鄞州区 南部商务区,3室1厅1厨1卫,低楼层 (共14层),45.40㎡,跃层,,板楼,西,钢混结构,精装,四梯二十四户,有,2023-10-15,商品房,2018-10-11,商住两用,暂无数据,非共有,有抵押 30万元 鄞州银行,已上传房本照片,202310123302120028,,,,,鄞州区,南部商务区,低楼层,14,3,1,1,1,11.35,3.0266666666666664,0.25,0.25,5,1,0,2711766.8711656444,2500000.0,1329556.3519404833,978,0.24338366385184038
376万,26239元/平米,北岸琴森,江北区 中马,3室1厅1厨2卫,高楼层 (共12层),143.30㎡,平层,,板楼,南 北,钢混结构,精装,一梯两户,无,2023-10-14,商品房,2020-06-24,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,202206213302050001,民水,民电,,,江北区,中马,高楼层,12,3,1,1,2,35.825,11.023076923076925,0.25,0.5,6,2,3,2374983.935742972,2080000.0,1266402.7666910856,249,1.5831679365257745
209万,21774元/平米,印象巴黎,海曙区 集士港,3室2厅1厨1卫,低楼层 (共11层),95.99㎡,平层,79.42㎡,板楼,南 北,钢混结构,精装,一梯两户,无,2023-10-09,商品房,2016-10-06,普通住宅,满五年,共有,有抵押 30万元 业主自还,已上传房本照片,202008213302030009,,,,,海曙区,集士港,低楼层,11,3,2,1,1,23.9975,7.9991666666666665,0.5,0.25,6,2,2,2048187.9432624113,1840000.0,968698.6620355729,564,1.0204136717343035
290万,27338元/平米,咏柳苑(杨柳郡二期）,鄞州区 邱隘,3室2厅1厨2卫,高楼层 (共30层),106.08㎡,平层,,板楼,南,钢混结构,精装,一梯两户,暂无数据,2023-10-17,商品房,2020-04-01,普通住宅,满两年,非共有,无抵押,已上传房本照片,202103053302120156,,,,,鄞州区,邱隘,高楼层,30,3,2,1,2,26.52,3.4219354838709677,0.5,0.5,7,2,2,2711766.8711656444,2500000.0,1329556.3519404833,978,1.0694130684399048
183万,15554元/平米,水岸阳光,海曙区 集士港,3室2厅1厨2卫,低楼层 (共8层),117.66㎡,平层,,板楼,南,钢混结构,精装,一梯两户,暂无数据,2023-10-12,商品房,2018-07-25,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,2023100733020330051,,,,,海曙区,集士港,低楼层,8,3,2,1,2,29.415,13.073333333333332,0.5,0.5,7,1,2,2048187.9432624113,1840000.0,968698.6620355729,564,0.8934722580257298
138万,12504元/平米,明城港湾,海曙区 集士港,3室1厅1厨2卫,中楼层 (共6层),110.37㎡,平层,,板楼,南,钢混结构,毛坯,一梯两户,暂无数据,2023-10-17,拆迁安置房,2019-02-01,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,202105253302030049,,,,,海曙区,集士港,中楼层,6,3,1,1,2,27.5925,15.767142857142858,0.25,0.5,6,1,2,2048187.9432624113,1840000.0,968698.6620355729,564,0.6737659650685831
270万,23932元/平米,左岸尚苑,海曙区 石碶,3室2厅1厨2卫,中楼层 (共11层),112.82㎡,平层,94.60㎡,板楼,东南,钢混结构,精装,一梯两户,有,2023-09-22,商品房,2015-10-13,普通住宅,暂无数据,非共有,有抵押 业主自还,已上传房本照片,202309223302030045,,,,,海曙区,石碶,中楼层,11,3,2,1,2,28.205,9.401666666666666,0.5,0.5,7,2,2,2048187.9432624113,1840000.0,968698.6620355729,564,1.31823775774288
340万,30606元/平米,雅戈尔一号花苑,海曙区 石碶,3室2厅1厨2卫,高楼层 (共15层),111.09㎡,平层,,暂无数据,东南,未知结构,精装,一梯六户,暂无数据,2023-10-02,商品房,2021-09-30,普通住宅,满两年,非共有,无抵押,已上传房本照片,202310023302030006,,,,,海曙区,石碶,高楼层,15,3,2,1,2,27.7725,6.943125,0.5,0.5,7,3,2,2048187.9432624113,1840000.0,968698.6620355729,564,1.660003102342886
315万,24315元/平米,同心苑(鄞州大道),鄞州区 南部商务区,3室2厅1厨2卫,中楼层 (共11层),129.55㎡,平层,111.08㎡,板塔结合,南,钢混结构,精装,一梯两户,有,2023-09-23,商品房,2013-06-27,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,202309233302120054,,,,,鄞州区,南部商务区,中楼层,11,3,2,1,2,32.3875,10.795833333333334,0.5,0.5,7,2,3,2711766.8711656444,2500000.0,1329556.3519404833,978,1.1616038502019654
162万,18227元/平米,东方城香梅家园北区,海曙区 石碶,2室2厅1厨1卫,高楼层 (共6层),88.88㎡,平层,88.88㎡,板楼,南,混合结构,精装,一梯两户,无,2023-09-22,商品房,2004-02-16,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,202309243302030016,,,,,海曙区,石碶,高楼层,6,2,2,1,1,29.626666666666665,12.697142857142856,0.6666666666666666,0.3333333333333333,5,1,1,2048187.9432624113,1840000.0,968698.6620355729,564,0.790942654645728
245万,19747元/平米,万科金色城市一期,海曙区 集士港,3室2厅1厨1卫,高楼层 (共15层),124.07㎡,平层,,板楼,南,钢混结构,精装,一梯两户,无,2023-09-26,商品房,2012-09-19,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,202309263302030029,,,,,海曙区,集士港,高楼层,15,3,2,1,1,31.0175,7.754375,0.5,0.25,6,2,2,2048187.9432624113,1840000.0,968698.6620355729,564,1.1961787061000209
272万,22308元/平米,东方丽都,鄞州区 潘火,3室2厅1厨2卫,高楼层 (共26层),121.93㎡,平层,,板楼,南,钢混结构,精装,两梯四户,有,2023-09-25,拆迁安置房,2019-07-25,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,202305023302120005,,,,,鄞州区,潘火,高楼层,26,3,2,1,2,30.4825,4.515925925925926,0.5,0.5,7,2,2,2711766.8711656444,2500000.0,1329556.3519404833,978,1.003035705571221
420万,31116元/平米,美的明州院子,鄞州区 首南,4室2厅1厨2卫,中楼层 (共15层),134.98㎡,平层,,板楼,南,钢混结构,精装,两梯两户,有,2022-05-03,商品房,2020-11-03,普通住宅,暂无数据,非共有,有抵押 380万元,已上传房本照片,202211273302120037,,,,,鄞州区,首南,中楼层,15,4,2,1,2,26.996,8.43625,0.4,0.4,8,3,3,2711766.8711656444,2500000.0,1329556.3519404833,978,1.5488051336026207
469万,33756元/平米,北宸府,海曙区 段塘,4室2厅1厨3卫,高楼层 (共32层),138.94㎡,平层,,板楼,南,钢混结构,精装,一梯两户,暂无数据,2023-04-19,商品房,2016-07-05,普通住宅,暂无数据,非共有,有抵押 400万元,已上传房本照片,202305073302030034,,,,,海曙区,段塘,高楼层,32,4,2,1,3,27.788,4.21030303030303,0.4,0.6,9,3,3,2048187.9432624113,1840000.0,968698.6620355729,564,2.2898278088200397
